id of repetition;uncompressed;compressed;decompressed
0;104804642;37349633;104796450
1;104804642;37349633;104796450
2;104804642;37349633;104796450
3;104804642;37349633;104796450
4;104804642;37349633;104796450
5;104804642;37349633;104796450
6;104804642;37349633;104796450
7;104804642;37349633;104796450
8;104804642;37349633;104796450
9;104804642;37349633;104796450
10;104804642;37349633;104796450
11;104804642;37349633;104796450
12;104804642;37349633;104796450
13;104804642;37349633;104796450
14;104804642;37349633;104796450
15;104804642;37349633;104796450
16;104804642;37349633;104796450
17;104804642;37349633;104796450
18;104804642;37349633;104796450
19;104804642;37349633;104796450
20;104804642;37349633;104796450
21;104804642;37349633;104796450
22;104804642;37349633;104796450
23;104804642;37349633;104796450
24;104804642;37349633;104796450
25;104804642;37349633;104796450
26;104804642;37349633;104796450
27;104804642;37349633;104796450
28;104804642;37349633;104796450
29;104804642;37349633;104796450
30;104804642;37349633;104796450
31;104804642;37349633;104796450
32;104804642;37349633;104796450
33;104804642;37349633;104796450
34;104804642;37349633;104796450
35;104804642;37349633;104796450
36;104804642;37349633;104796450
37;104804642;37349633;104796450
38;104804642;37349633;104796450
39;104804642;37349633;104796450
40;104804642;37349633;104796450
41;104804642;37349633;104796450
42;104804642;37349633;104796450
43;104804642;37349633;104796450
44;104804642;37349633;104796450
45;104804642;37349633;104796450
46;104804642;37349633;104796450
47;104804642;37349633;104796450
48;104804642;37349633;104796450
49;104804642;37349633;104796450
50;104804642;37349633;104796450
51;104804642;37349633;104796450
52;104804642;37349633;104796450
53;104804642;37349633;104796450
54;104804642;37349633;104796450
55;104804642;37349633;104796450
56;104804642;37349633;104796450
57;104804642;37349633;104796450
58;104804642;37349633;104796450
59;104804642;37349633;104796450
60;104804642;37349633;104796450
61;104804642;37349633;104796450
62;104804642;37349633;104796450
63;104804642;37349633;104796450
64;104804642;37349633;104796450
65;104804642;37349633;104796450
66;104804642;37349633;104796450
67;104804642;37349633;104796450
68;104804642;37349633;104796450
69;104804642;37349633;104796450
